Position Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Duration,Duration_Days,Position_Type
0,0,0.04373883247176401,1970-01-01 00:00:00.000000029,22840.138671875,0.9990009990009412,1970-01-01 00:00:00.000000043,21808.1015625,0.9538609007694024,-47.09296013136711,-0.04714005309149846,Long,Closed,0 days 00:00:00.000000014,0.0,Loser
1,0,0.03913059318126578,1970-01-01 00:00:00.000000049,24327.642578125,0.9519550847837763,1970-01-01 00:00:00.000000063,22435.513671875,0.877914958306867,-75.86999652007285,-0.07969913468900676,Long,Closed,0 days 00:00:00.000000014,0.0,Big Loser
2,0,0.03249146395384214,1970-01-01 00:00:00.000000076,26965.87890625,0.8761608824660243,1970-01-01 00:00:00.000000114,28307.59765625,0.9197552888679132,41.79849023048531,0.0477064099379064,Long,Closed,0 days 00:00:00.000000038,0.0,Winner
3,0,0.031079625434806565,1970-01-01 00:00:00.000000124,29534.384765625,0.917917615963006,1970-01-01 00:00:00.000000126,28454.978515625,0.8843700740210931,-35.34982963197325,-0.038510895768008646,Long,Closed,0 days 00:00:00.000000002,0.0,Loser
4,0,0.03254548248913232,1970-01-01 00:00:00.000000154,27119.06640625,0.8826031008461541,1970-01-01 00:00:00.000000157,26345.998046875,0.8574432180932846,-26.899929071880695,-0.030477945348355868,Long,Closed,0 days 00:00:00.000000003,0.0,Loser
5,0,0.028607983379079823,1970-01-01 00:00:00.000000172,29912.28125,0.8557300448302385,1970-01-01 00:00:00.000000200,29792.015625,0.8522894878292864,-5.148576533734219,-0.006016589653288225,Long,Closed,0 days 00:00:00.000000028,0.0,Breakeven
6,0,0.03179254205267531,1970-01-01 00:00:00.000000260,26754.28125,0.8505866117296819,1970-01-01 00:00:00.000000364,42265.1875,0.0,492.28055261649945,0.5787541748575284,Long,Open,,,Big Winner
