Order Id,Column,Timestamp,Size,Price,Fees,Side
0,0,29,0.04373883247176401,22840.138671875,0.9990009990009412,Buy
1,0,43,0.04373883247176401,21808.1015625,0.9538609007694024,Sell
2,0,49,0.03913059318126578,24327.642578125,0.9519550847837763,Buy
3,0,63,0.03913059318126578,22435.513671875,0.877914958306867,Sell
4,0,76,0.03249146395384214,26965.87890625,0.8761608824660243,Buy
5,0,114,0.03249146395384214,28307.59765625,0.9197552888679132,Sell
6,0,124,0.031079625434806565,29534.384765625,0.917917615963006,Buy
7,0,126,0.031079625434806565,28454.978515625,0.8843700740210931,Sell
8,0,154,0.03254548248913232,27119.06640625,0.8826031008461541,Buy
9,0,157,0.03254548248913232,26345.998046875,0.8574432180932846,Sell
10,0,172,0.028607983379079823,29912.28125,0.8557300448302385,Buy
11,0,200,0.028607983379079823,29792.015625,0.8522894878292864,Sell
12,0,260,0.03179254205267531,26754.28125,0.8505866117296819,Buy
