Position_UUID,Ticker,Strategy_Type,Short_Window,Long_Window,Signal_Window,Entry_Timestamp,Exit_Timestamp,Avg_Entry_Price,Avg_Exit_Price,Position_Size,Direction,PnL,Return,Duration_Days,Trade_Type,Status,Max_Favourable_Excursion,Max_Adverse_Excursion,MFE_MAE_Ratio,Exit_Efficiency,Days_Since_Entry,Current_Unrealized_PnL,Current_Excursion_Status
USB_SMA_28_88_0_1973-10-08,USB,SMA,28,88,0,1973-10-08 00:00:00,1973-12-14 00:00:00,0.48888900876045227,0.4305559992790222,2043.4106332926242,Long,-121.07709555246925,-0.12119817264802171,67.0,Big Loser,Closed,0.06249880748406844,0.11931749013815994,0.5238025658409334,-1.939207762946778,,,
USB_SMA_28_88_0_1974-03-21,USB,SMA,28,88,0,1974-03-21 00:00:00,1974-04-26 00:00:00,0.46111100912094116,0.4305559992790222,1904.194092571855,Long,-59.88057628939333,-0.06819762753066472,36.0,Big Loser,Closed,0.04216989335405323,0.06626389142208686,0.6363932520268091,-1.6172112876379798,,,
USB_SMA_28_88_0_1974-11-25,USB,SMA,28,88,0,1974-11-25 00:00:00,1975-04-11 00:00:00,0.38055598735809326,0.4305559992790222,2150.0754980479546,Long,105.75984852465362,0.12925535681562253,137.0,Big Winner,Closed,0.23357409231800533,1.4586855305215124e-16,1601264202809343.0,0.5533805377680525,,,
USB_SMA_28_88_0_1975-04-16,USB,SMA,28,88,0,1975-04-16 00:00:00,1975-10-10 00:00:00,0.44999998807907104,0.46944400668144226,2053.062939686276,Long,38.03211760033894,0.041165722440765204,177.0,Winner,Closed,0.13580229907041919,1.2335811711511372e-16,1100878501117952.1,0.3031297903095076,,,
USB_SMA_28_88_0_1976-01-20,USB,SMA,28,88,0,1976-01-20 00:00:00,1977-03-10 00:00:00,0.5194439888000488,0.6111109852790833,1851.7346289505824,Long,167.64946391668465,0.17429490658675395,415.0,Big Winner,Closed,0.3475947420165915,0.0,,0.5014313668140424,,,
USB_SMA_28_88_0_1977-06-01,USB,SMA,28,88,0,1977-06-01 00:00:00,1977-09-21 00:00:00,0.6499999761581421,0.6611109972000122,1737.468377262297,Long,17.02703384405417,0.01507678527380104,112.0,Winner,Closed,0.09401697723744382,0.0,,0.1603623698273556,,,
USB_SMA_28_88_0_1977-12-09,USB,SMA,28,88,0,1977-12-09 00:00:00,1978-02-17 00:00:00,0.699999988079071,0.6694440245628357,1637.6634959124613,Long,-52.283074502171026,-0.045607725817948065,70.0,Loser,Closed,0.07142858967489157,0.04365137719514331,1.6363421789780044,-0.638507998345374,,,
USB_SMA_28_88_0_1978-05-09,USB,SMA,28,88,0,1978-05-09 00:00:00,1978-06-22 00:00:00,0.6694440245628357,0.6694440245628357,1634.3914409755732,Long,-2.188267167915468,-0.0019999999999999888,44.0,Breakeven,Closed,0.045643791557015076,0.0,,-0.04381756930735534,,,
USB_SMA_28_88_0_1978-08-30,USB,SMA,28,88,0,1978-08-30 00:00:00,1978-11-06 00:00:00,0.6888890266418457,0.6611109972000122,1585.0847678527712,Long,-46.17039582360864,-0.04228261496291625,68.0,Loser,Closed,0.03225771005153301,0.0564518361880107,0.5714200321863744,-1.3107754671787937,,,
USB_SMA_28_88_0_1979-02-14,USB,SMA,28,88,0,1979-02-14 00:00:00,1979-05-17 00:00:00,0.699999988079071,0.6701390147209167,1494.033213041598,Long,-46.66031914749965,-0.04461587556116705,92.0,Loser,Closed,0.11508005201952887,0.04265853409526236,2.6977029206521568,-0.3876942595889322,,,
