Position_UUID,Ticker,Strategy_Type,Short_Window,Long_Window,Signal_Window,Entry_Timestamp,Exit_Timestamp,Avg_Entry_Price,Avg_Exit_Price,Position_Size,Direction,PnL,Return,Duration_Days,Trade_Type,Status,Max_Favourable_Excursion,Max_Adverse_Excursion,MFE_MAE_Ratio,Exit_Efficiency,Days_Since_Entry,Current_Unrealized_PnL,Current_Excursion_Status
MSTR_SMA_6_84_0_1998-12-29,MSTR,SMA,6,84,0,1998-12-29 00:00:00,1999-02-17 00:00:00,16.5,12.46875,60.54551509096964,Long,-245.82803560076283,-0.24607386363636358,50.0,Big Loser,Closed,0.06060606060606061,0.25,0.24242424242424243,-4.060218749999999,,,
MSTR_SMA_6_84_0_1999-05-24,MSTR,SMA,6,84,0,1999-05-24 00:00:00,2000-03-24 00:00:00,12.0625,129.0,62.45956856815618,Long,7295.055096547618,9.68260621761658,305.0,Big Winner,Closed,26.60621761658031,0.12953367875647667,205.4,0.3639226874391432,,,
MSTR_SMA_6_84_0_2000-09-01,MSTR,SMA,6,84,0,2000-09-01 00:00:00,2000-09-19 00:00:00,31.375,27.8125,256.2927768947182,Long,-928.2123464198899,-0.11543227091633468,18.0,Big Loser,Closed,0.17330677290836655,0.16334661354581673,1.0609756097560976,-0.6660574712643679,,,
MSTR_SMA_6_84_0_2001-11-02,MSTR,SMA,6,84,0,2001-11-02 00:00:00,2001-11-06 00:00:00,2.319999933242798,2.4000000953674316,3066.336645867805,Long,230.83431974190694,0.032448346664734846,4.0,Winner,Closed,0.09482760126752364,0.04741374925044588,2.000002167443695,0.34218251048229026,,,
MSTR_SMA_6_84_0_2001-11-13,MSTR,SMA,6,84,0,2001-11-13 00:00:00,2002-02-08 00:00:00,2.450000047683716,3.0299999713897705,2997.7568925693654,Long,1722.2710611510752,0.23449792347153037,87.0,Big Winner,Closed,1.0326530294485865,0.004081628681073312,253.00023841880648,0.22708297635726396,,,
MSTR_SMA_6_84_0_2002-08-22,MSTR,SMA,6,84,0,2002-08-22 00:00:00,2002-10-02 00:00:00,1.3259999752044678,0.746999979019165,6836.391561004174,Long,-3972.4425271356686,-0.43821493740972767,41.0,Big Loser,Closed,0.036199079157666784,0.4502262549205298,0.08040197292371665,-12.10569295149918,,,
MSTR_SMA_6_84_0_2002-10-14,MSTR,SMA,6,84,0,2002-10-14 00:00:00,2004-03-18 00:00:00,0.9499999880790712,5.210999965667725,5364.822159211205,Long,22826.454431091297,4.478777927395895,521.0,Big Winner,Closed,5.8947371293963515,0.0463157584330379,127.27281877330815,0.7597926470818798,,,
MSTR_SMA_6_84_0_2004-09-16,MSTR,SMA,6,84,0,2004-09-16 00:00:00,2005-03-18 00:00:00,4.184000015258789,6.006999969482422,6668.31540770974,Long,12088.381880785386,0.43327173700470606,183.0,Big Winner,Closed,0.9060707159532116,0.061185478257182985,14.808590890549127,0.47818755134238294,,,
MSTR_SMA_6_84_0_2005-07-08,MSTR,SMA,6,84,0,2005-07-08 00:00:00,2005-10-11 00:00:00,5.815000057220459,6.699999809265137,6874.726904461413,Long,5998.094399531768,0.15004036863161027,95.0,Big Winner,Closed,0.4110059919118907,0.051246750803755556,8.020137578786178,0.36505640205794165,,,
MSTR_SMA_6_84_0_2005-10-20,MSTR,SMA,6,84,0,2005-10-20 00:00:00,2005-11-04 00:00:00,7.047999858856202,7.340000152587891,6522.224824152137,Long,1810.6497935919997,0.039388805232651966,15.0,Winner,Closed,0.08257665539726144,0.0678206153188542,1.2175745532391986,0.4769968587751527,,,
MSTR_SMA_6_84_0_2005-11-07,MSTR,SMA,6,84,0,2005-11-07 00:00:00,2006-05-22 00:00:00,7.308000087738037,9.376999855041504,6537.695678583395,Long,13417.409385666855,0.2808312455830741,196.0,Big Winner,Closed,0.49835791978683003,0.01956761414452459,25.468507100865974,0.5635131587819416,,,
MSTR_SMA_6_84_0_2006-09-01,MSTR,SMA,6,84,0,2006-09-01 00:00:00,2007-04-13 00:00:00,9.16100025177002,11.565999984741211,6678.472251014029,Long,15923.299284417955,0.26026336286520785,224.0,Big Winner,Closed,0.453116462046397,0.03394824383289411,13.347272520982376,0.574385140830655,,,
