Position_UUID,Ticker,Strategy_Type,Short_Window,Long_Window,Signal_Window,Entry_Timestamp,Exit_Timestamp,Avg_Entry_Price,Avg_Exit_Price,Position_Size,Direction,PnL,Return,Duration_Days,Trade_Type,Status,Max_Favourable_Excursion,Max_Adverse_Excursion,MFE_MAE_Ratio,Exit_Efficiency,Days_Since_Entry,Current_Unrealized_PnL,Current_Excursion_Status
NVDA_SMA_53_64_0_1999-04-23,NVDA,SMA,53,64,0,1999-04-23 00:00:00,1999-05-10 00:00:00,0.035937998443841934,0.03645800054073334,27797.903118118153,Long,12.442510944692888,0.01245495345563758,17.0,Winner,Closed,0.10142475930164228,0.07248591354461216,1.3992340627564752,0.12279993111539883,,,
NVDA_SMA_53_64_0_1999-07-19,NVDA,SMA,53,64,0,1999-07-19 00:00:00,1999-11-08 00:00:00,0.044530998915433884,0.06054700165987015,22712.966349252027,Long,361.38429829279556,0.35729997375707734,112.0,Big Winner,Closed,0.41521632759867666,0.21636608049106917,1.9190453820501467,0.8605152302739457,,,
NVDA_SMA_53_64_0_1999-12-01,NVDA,SMA,53,64,0,1999-12-01 00:00:00,2000-06-01 00:00:00,0.07578100264072418,0.2444009929895401,18110.796994721455,Long,3048.043663335072,2.220870699627594,183.0,Big Winner,Closed,3.123724800548689,0.048112338088677424,64.92564952447852,0.710968744505756,,,
NVDA_SMA_53_64_0_2000-06-14,NVDA,SMA,53,64,0,2000-06-14 00:00:00,2000-09-06 00:00:00,0.26419299840927124,0.30885401368141174,16720.552952390382,Long,737.1752078554701,0.16687788293220224,84.0,Big Winner,Closed,0.3878755479790625,0.21143632951999403,1.8344791969271481,0.43023563563540307,,,
NVDA_SMA_53_64_0_2000-09-20,NVDA,SMA,53,64,0,2000-09-20 00:00:00,2000-11-07 00:00:00,0.2773439884185791,0.29817700386047363,18583.030474274867,Long,376.4456366896583,0.07304104395816943,48.0,Big Winner,Closed,0.2957735339754914,0.2103308360519746,1.406230011382654,0.24694922150885149,,,
NVDA_SMA_53_64_0_2001-03-05,NVDA,SMA,53,64,0,2001-03-05 00:00:00,2001-08-10 00:00:00,0.18333299458026886,0.3526670038700104,30163.48131127449,Long,5091.535598638201,0.9207181155674968,158.0,Big Winner,Closed,1.2727333686681155,0.05397280999058101,23.581009936118292,0.7234179115858382,,,
NVDA_SMA_53_64_0_2001-10-18,NVDA,SMA,53,64,0,2001-10-18 00:00:00,2001-10-19 00:00:00,0.36216700077056885,0.3696669936180115,29313.577666276913,Long,198.39895019669947,0.018687950140829215,1.0,Winner,Closed,0.03543392744818515,0.04279796068368263,0.8279349502205341,0.5274027319764795,,,
NVDA_SMA_53_64_0_2001-11-28,NVDA,SMA,53,64,0,2001-11-28 00:00:00,2002-03-07 00:00:00,0.42800000309944153,0.47166699171066284,25267.783122387562,Long,1080.6354073288765,0.09992364791285918,99.0,Big Winner,Closed,0.41471957581547125,0.041081804797992956,10.09496972819783,0.2409426845028411,,,
NVDA_SMA_53_64_0_2002-10-29,NVDA,SMA,53,64,0,2002-10-29 00:00:00,2002-11-04 00:00:00,0.08891700208187103,0.13033300638198853,133767.0729746786,Long,5510.769237651536,0.46331695094399833,6.0,Big Winner,Closed,0.5473194015403404,0.05248713826555191,10.427686088947134,0.8465202396262018,,,
NVDA_SMA_53_64_0_2002-11-20,NVDA,SMA,53,64,0,2002-11-20 00:00:00,2003-01-31 00:00:00,0.12399999797344206,0.0860000029206276,140317.99487270723,Long,-5361.549890032443,-0.3081451264369555,72.0,Big Loser,Closed,0.22782265550954234,0.35752416722035324,0.6372230925836355,-1.352565774232444,,,
