Ticker,Allocation [%],Strategy Type,Short Window,Long Window,Stop Loss [%],Signal Entry,Total Trades,Total Return [%],Annual Returns,Sharpe Ratio,Sortino Ratio,Max Drawdown [%],Winning Trades,Losing Trades,Win Rate [%],Profit Factor,Expectancy per Trade,Score,Beats BNH [%],Has Open Trade
QQQ,,SMA,69,77,,false,63,1255.797031533004,0.11637782166958384,0.7647175869698346,1.0918016154309444,42.02105197495111,44,19,69.84126984126983,4.59549014037313,199.3328621480958,1.6622770321862734,0.3700348347024849,false
MSTR,,SMA,6,84,,false,64,73414.25316224415,0.37419712859098814,0.8961310441225017,1.4190652626247908,88.73526736933606,28,36,44.44444444444444,2.202033597221742,10840.886169695945,1.5244934860617168,20.63022208821608,true
BTC-USD,,EMA,11,17,,false,67,59119.941035020645,0.49435759053464956,1.458217564297458,2.280429674157807,66.13956646733496,30,37,45.45454545454545,2.2210815017672574,7261.543194148179,1.5174822830901973,1.6182330043461493,true
MSTR,,EMA,14,62,,false,58,41509.43100601127,0.3586147057438278,0.841147396227598,1.315612100977761,87.11619411072627,26,32,45.614035087719294,2.225902194421995,6774.275492113935,1.516224990646948,11.230025815712601,true
